sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
The dentist told me I have gum disease and need to start flossing.,The dentist asked when the last time I flossed was.,My teeth have been hurting all of a sudden out of nowhere.,I booked an emergency dentist appointment right away.,I honestly couldn't remember but I know I don't floss often.,"flossed,floss,booked,remember,hurting,know,asked","hurting, sudden, emergency",2.0,"flossed,floss,booked,remember,hurting,know,askedhurting, sudden, emergency"
The cat ate the food.,She got the food out for the cat.,She bought the best food for it.,[NEUTRAL] loved to feed her cat .,She put it in the bowl.,"feed,put,loved","food, food, loved",0.0,"feed,put,lovedfood, food, loved"
[NEUTRAL] made cupcakes and gave me some .,I took a photo and sent it to my wife at work.,It was my neighbor [NEUTRAL] .,On Thursday I heard a loud knock on the door .,We gladly ate the cupcakes for dessert that night.,"sent,heard,ate",,2.0,"sent,heard,ate"
We both put our hands on it to play.,"All the sudden, the planchette started moving slowly.",I threw it away the next day .,"When I was young , my friend bought me a [NEUTRAL] board .",We were very scared and stopped playing immediately.,"moving,threw,stopped,started,playing","sudden, young, friend",2.0,"moving,threw,stopped,started,playingsudden, young, friend"
He made the team and made sure to bring his glove to practice.,He decided to try out for the school baseball team.,[NEUTRAL] still did well even without a glove .,When he got to the tryouts he realized he forgot his glove.,[NEUTRAL] loved to play catch with his dad .,"realized,forgot,try,play,loved","loved, catch",2.0,"realized,forgot,try,play,lovedloved, catch"
It broke a window of the man's house.,A branch fell from the tree.,The tree grew to be very tall.,The man planted a tree.,One day their was a big storm .,"planted,grew,fell","fell, tree, tree, tree, storm",0.0,"planted,grew,fellfell, tree, tree, tree, storm"
She stopped and let the dog catch up with her.,"The friendly dog licked her hand, and looked up at her.",[NEUTRAL] was walking home from the park .,She decided she would ask her mom if she could keep the dog.,A dog that was loose at the park had begun following her home.,"licked,following,keep,begun,walking,ask,looked",friendly,1.0,"licked,following,keep,begun,walking,ask,lookedfriendly"
"A few yards from the house , the dog was playing with another animal .","When he opened the door to get the dog back in, he was surprised.",Often deer came into the Jones ' yard in the fall .,"One evening near dusk , Mister [NEUTRAL] let the dog out for a few minutes .","It was a small deer that seemed to think it was a dog, too.","seemed,surprised,let,opened,think","surprised, fall",2.0,"seemed,surprised,let,opened,thinksurprised, fall"
She wasn't afraid of them and like the look.,A ladybug started to fly away from her hand.,She tried to get out of its way.,[NEUTRAL] liked beetles and was playing with them one day .,It got inside her mouth and she swallowed it.,"swallowed,fly,liked,started,tried,playing","liked, mouth",1.0,"swallowed,fly,liked,started,tried,playingliked, mouth"
One day the bears jumped on top of his car to get their treats .,[NEUTRAL] liked to feed the bears at the dump .,[NEUTRAL] never came back to the dump again .,His dad warned him not to do it.,Taylor did n't care .,"warned,care,feed,liked","liked, warned",2.0,"warned,care,feed,likedliked, warned"
He left his socks in the washer.,A stranger had accidentally thought [NEUTRAL] 's laundry was his .,[NEUTRAL] was at the laundry cleaners .,When he came back they were gone.,He was washing his socks today .,"washing,thought","stranger, accidentally",2.0,"washing,thoughtstranger, accidentally"
[NEUTRAL] wanted to go see the new movie in town .,[NEUTRAL] took her best friend to the movie .,She camped out in front of the theater to be first in line .,A long line started to form behind her.,When tickets went on sale she bought 2 .,"form,camped,started",friend,2.0,"form,camped,startedfriend"
Jim wants to see an action movie but [NEUTRAL] wants to see a romantic one .,[NEUTRAL] could still see that [NEUTRAL] was a little upset .,[NEUTRAL] was so happy that she went to see [NEUTRAL] 's movie the next night .,He offered that they go see the romantic movie that night .,They flip a coin to see which one to go to and [NEUTRAL] won the coin toss .,"flip,offered,won,see","upset, happy, romantic",2.0,"flip,offered,won,seeupset, happy, romantic"
He enjoyed the soup from the couch before falling asleep.,He was feeling well so he took the rest of the day off .,He felt much better when he woke up from his sleep.,"When he got home, his wife made him some soup.",Emerson went home early from work .,"feeling,woke,felt",feeling,2.0,"feeling,woke,feltfeeling"
[NEUTRAL] got out of the car and walked to the water 's edge .,He pulled out a fat catfish from the water as his dad smiled on.,His dad came over and put a piece of bait on his hook.,[NEUTRAL] cast his line into the water and smiled at his dad .,A few minutes later he felt a tug on his line .,"cast,smiled,pulled,felt,put","fat, bait",2.0,"cast,smiled,pulled,felt,putfat, bait"
[NEUTRAL] took his eyes off of him for a minute .,There were several other dogs there.,[NEUTRAL] took his friend 's dog to the dog park .,When he went to get him he got the wrong dog.,He quickly noticed his mistake and corrected it.,"corrected,noticed","friend, mistake",2.0,"corrected,noticedfriend, mistake"
Nate and his class were playing a game with marshmallows.,They raced to see who could push one with his nose the fastest.,He gave one last big push with the top of his head .,Nate got marshmallow stuck in his hair.,Nate really wanted to win the race.,"raced,push,stuck,win,see,gave",nose,1.0,"raced,push,stuck,win,see,gavenose"
Last Tuesday I went to play soccer with my friends .,I had a lot of fun being goalie because I could still use my hands.,I ca n't wait to play soccer next Tuesday .,I did a very good job and my friends invited me back next time.,I'm not very good at soccer so my friends made me play goalie.,"'m,invited,use,wait,play","fun, good, good",2.0,"'m,invited,use,wait,playfun, good, good"
Then she went outside to practice.,At first she fell often.,She bought herself a board.,But soon she was skating very well!,Eve wanted to skateboard.,"skateboard,skating,fell",fell,2.0,"skateboard,skating,fellfell"
Lindsay went over to feed the ducks some bread.,There was a duck pond at the entrance.,She decided to go to the park.,Lindsay had a day off and wanted to go Somewhere.,The ducks ate the bread.,ate,,2.0,ate
The paper hit the teacher.,A new teacher had a bad class.,She turned back at the class.,She told them to shut up and sit down.,The children threw paper.,"shut,threw,turned,sit",bad,2.0,"shut,threw,turned,sitbad"
[NEUTRAL] was sitting on a bench at the park .,[NEUTRAL] decided to throw a piece of her sandwich on the ground .,It was wandering around.,A bird came by.,The bird ate it.,"wandering,throw",,2.0,"wandering,throw"
Ada watched a red robin land on her lawn .,Then it bent its head and skewered a worm!,It hopped around happily.,It swallowed the worm hungrily.,Ada was a little taken aback by nature 's violence !,"skewered,bent,swallowed,hopped","worm, happily, worm, violence",0.0,"skewered,bent,swallowed,hoppedworm, happily, worm, violence"
He cried but is happy.,He wanted a last party.,His friends threw him a moving away party.,[NEUTRAL] is moving away .,He said bye to all his friends.,"moving,threw,said",,2.0,"moving,threw,said"
I decided to call my wife.,I saw a picture of my wife and I when we first started dating .,I was home alone one evening .,When she answered we talked for an hour .,I felt sad about how much time had passed.,"answered,dating,passed,talked,felt,started,saw",,1.0,"answered,dating,passed,talked,felt,started,saw"
[NEUTRAL] had a dog named [NEUTRAL] .,"After the walk , [NEUTRAL] had to carry [NEUTRAL] back to the truck .",He took [NEUTRAL] for a walk around the lake one day .,Oliver sniffed around and drank water from the lake.,The dog ran and ran around the lake.,"sniffed,carry,ran",,2.0,"sniffed,carry,ran"
She wasn't happy about that.,It was too bad to go out.,So Tina had to stay home .,It was a raining night .,Tina had to cook .,"cook,stay",bad,2.0,"cook,staybad"
We rode a camel and a horse.,Today my dad took me and my brothers to the zoo .,My dad said that we will get to go again very soon.,We liked looking at the animals.,My brothers got to pet a monkey but I was scared.,"pet,scared,liked,said,looking",liked,2.0,"pet,scared,liked,said,lookingliked"
She stood up and walked to the garbage can.,I had to stop her before she threw it away.,"After she read it, she had an angry look on her face.",I gave [NEUTRAL] a poem in our class .,She took it and decided to read it.,"read,threw,stop,gave",angry,2.0,"read,threw,stop,gaveangry"
I was trying to tell my uncle a message.,I tried to speak over him but he wouldn't stop.,"However, he kept interrupting me when I'm talking.",I immediately walked away.,He did n't say a single word to me for the rest of the day .,"interrupting,speak,'m,talking,kept,stop,say,walked,tried",,1.0,"interrupting,speak,'m,talking,kept,stop,say,walked,tried"
Love was totally absent from his life.,His family was always arguing.,His parents wouldn't listen.,There was nothing he could do.,The boy was always sad.,"arguing,listen",boy,2.0,"arguing,listenboy"
It was time for the stitches to come out.,[NEUTRAL] had needed stitches after falling from her bike .,Now her wound was healed.,"But thankfully, it did not hurt at all to get the stitches removed!","[NEUTRAL] was afraid , thinking it would be painful .","healed,removed,hurt,falling,needed,thinking","falling, wound, hurt, afraid, painful",2.0,"healed,removed,hurt,falling,needed,thinkingfalling, wound, hurt, afraid, painful"
[NEUTRAL] had a big pet snake in his home .,"When he moved to a small apartment for work, he had to get rid of her.","When [NEUTRAL] returned home , he was so happy to get his snake back .",His friend watched the snake for a year while [NEUTRAL] worked .,The snake had grown almost a foot while he was away!,"returned,grown,moved,watched,worked","happy, snake, friend, snake, snake",2.0,"returned,grown,moved,watched,workedhappy, snake, friend, snake, snake"
"When he went to ride his bike home, it was gone.",He checked the tapes and saw that it had been stolen.,Micah was at work .,His bike was chained up out back.,He was never able to find it.,"chained,stolen,checked,saw",stolen,2.0,"chained,stolen,checked,sawstolen"
Amy went to Panera for lunch .,The cashier told [NEUTRAL] she was on break and walked away .,When it was finally her time the cashier walked away.,Amy asked her to come back .,The line was longer than she hoped.,"hoped,walked,asked","break, finally",2.0,"hoped,walked,askedbreak, finally"
He did not know what to give.,[NEUTRAL] had to give [NEUTRAL] a gift .,He ended up buying a nice notebook,4 Friends were playing secret santa .,Jen pretended to like it.,"pretended,ended,give,playing","gift, like",2.0,"pretended,ended,give,playinggift, like"
She really doesn't ever want to go to a baseball game again.,The game ended up being a no-hitter.,I took my daughter to her first baseball game last year .,It couldn't have been more boring for her to watch.,She really isn't into sports.,"watch,ended","daughter, watch",2.0,"watch,endeddaughter, watch"
I had a really bad bump from the fall on my head.,He waited till I was hanging upside from a tree branch.,He smacked me in the head with a broom and made me fall.,My brother was mad at me.,He was grounded for a whole month !,"smacked,grounded,hanging,waited","hanging, tree, fall, mad, grounded",0.0,"smacked,grounded,hanging,waitedhanging, tree, fall, mad, grounded"
[NEUTRAL] carefully rewrapped the jumper and put it back under the tree .,She got out of bed and walked to the tree.,[NEUTRAL] was so excited about Christmas that she could n't sleep .,"[NEUTRAL] found a present with her name on it , and opened the wrapping .",It was a red jumper.,"sleep,opened,walked","tree, excited, found, present",0.0,"sleep,opened,walkedtree, excited, found, present"
I waited all day to go home and have my birthday party .,I went to school.,I was very excited.,It was my birthday.,When I got home the party was set up for my brother.,set,"excited, birthday",2.0,"setexcited, birthday"
One day she stayed home sick .,She did not have time to clean it.,[NEUTRAL] had a messy room .,She was able to clean the whole room on her sick day .,She left candy and papers everywhere.,"clean,left","clean, messy, clean, sick",0.0,"clean,leftclean, messy, clean, sick"
He decided to make a midnight snack .,He used a cup instead of a bowl to save on milk.,[NEUTRAL] was sitting in the chair when his stomach started to growl .,He went to the kitchen and fixed himself some cereal.,He sat down and enjoyed his cup of cereal.,"growl,fixed,save,enjoyed,used,sat,sitting,started","save, stomach, growl",2.0,"growl,fixed,save,enjoyed,used,sat,sitting,startedsave, stomach, growl"
She grabbed her bird book and started to flip through it.,A bird flew in the sky and landed on a tree by my house.,She told me that it was most likely as goldfinch.,I called to my wife to see if she knew what kind of bird it was.,I noticed it and went to the window to see it better.,"landed,noticed,called,knew,see","tree, kind",2.0,"landed,noticed,called,knew,seetree, kind"
[NEUTRAL] was very tired after working out .,[NEUTRAL] napped for two hours .,[NEUTRAL] went home to shower .,[NEUTRAL] got dressed and laid in bed .,Dan woke up revitalized.,"revitalized,napped,shower,dressed,laid,woke",,1.0,"revitalized,napped,shower,dressed,laid,woke"
She had a great idea she put it in the microwave and made applesauce!,Reaching for an apple she realized she had a very loose tooth.,She opened the refrigerator to get a snack.,She wanted the apple it was her favorite.,[NEUTRAL] was very hungry .,"Reaching,realized,opened",favorite,2.0,"Reaching,realized,openedfavorite"
He fell down when I kicked him.,He stood in the middle and didn't bother to move.,"When I was driving during the night , a man was on the road .",I stopped on the side of the road and got out of my car.,"When I came close to him, he tried to steal my car keys.","bother,steal,stood,move,stopped,driving,tried",steal,1.0,"bother,steal,stood,move,stopped,driving,triedsteal"
He stole his uncle's iphones.,Dominick got scared.,He gave the iphones back.,He did Something stupid.,Dominick is a smart boy .,"scared,Something,gave",boy,2.0,"scared,Something,gaveboy"
I went to a Florida beach for the first time in my life .,She said the Florida sun is strong but I did not take her advice .,I only had one day at the beach to get a good tan on vacation .,My mom told me that I needed suntan lotion.,That night my skin turned painfully bright red.,"turned,needed,said","sun, beach, good, vacation, painfully",0.0,"turned,needed,saidsun, beach, good, vacation, painfully"
She told us to go back to class.,The kids started asking what had happened.,She said she wasn't sure but it would be okay.,It was years before I understood what we had watched .,The teacher ran over and turned off the tv.,"okay,understood,happened,watched,turned,started,said,ran,asking",,1.0,"okay,understood,happened,watched,turned,started,said,ran,asking"
[NEUTRAL] felt rather silly .,He ended up calling in a professional to fix it.,He used too much of the carpet glue.,When it dried small brown circles showed through.,[NEUTRAL] redid his front porch entry way carpeting .,"redid,dried,fix,showed,ended,used,calling",,1.0,"redid,dried,fix,showed,ended,used,calling"
[NEUTRAL] had heard of the famous Buffalo wings .,"She saw the sights, but then she grew hungry.","When they came , [NEUTRAL] found them to be delicious !",She entered a restaurant and eagerly ordered a dozen wings .,[NEUTRAL] went to the city of Buffalo .,"entered,ordered,grew,saw","found, delicious",2.0,"entered,ordered,grew,sawfound, delicious"
She was sad it was such an overcast day.,I cheered her up with a giant love note in the sand.,When we finally arrived we sat in the sand and had lunch.,[NEUTRAL] and I went to the beach one time .,It was a long drive and we both got grumpy.,"cheered,arrived,sat","giant, love, finally, beach, grumpy",0.0,"cheered,arrived,satgiant, love, finally, beach, grumpy"
"However, a squirrel walked on top of me.",I immediately fell off of the tree since I couldn't see.,It scratched me on the face.,"When I was flying my kite, it got stuck on the tree.",I tried to climb the branches to reach the kite.,"scratched,stuck,reach,climb,flying,fell,see,tried","fell, tree, flying, kite, tree, kite",2.0,"scratched,stuck,reach,climb,flying,fell,see,triedfell, tree, flying, kite, tree, kite"
I called to see what was going on.,I thought it would be nice to drop in on family last weekend .,Apparently they had the same idea and were visiting me at home.,When I got there nobody was home.,I drove an hour away to where my aunt lives .,"visiting,drop,drove,thought",,2.0,"visiting,drop,drove,thought"
She decided to go to sleep.,Alexandra went over and asked him to stop.,Her neighbor started playing the trumpet loudly.,[NEUTRAL] was so very tired .,She was about to go to sleep when a marching band rolled by.,"rolled,sleep,stop,started,asked,playing",,1.0,"rolled,sleep,stop,started,asked,playing"
"He is so fast, he sometimes trips over his own feet.",He decides to walk back to his mom.,Cade can run very fast.,"Today , he decides he will run the fastest he 's ever run .","But his other foot comes out of nowhere, and he falls on his nose.","falls,'s,walk,run",nose,2.0,"falls,'s,walk,runnose"
A scuba diver went to a lake to look at the fish.,He jumped off the dock and sank like a stone.,He found a wallet in the car and nothing else.,At the bottom of the lake he found a car.,He opened the door to look around.,"jumped,opened,look","like, stone, found, bottom, found",0.0,"jumped,opened,looklike, stone, found, bottom, found"
On Christmas morning there was a large box under the tree .,[NEUTRAL] played with her dollhouse the whole day .,[NEUTRAL] wanted a [NEUTRAL] dollhouse for Christmas .,She opened the box and discovered a [NEUTRAL] dollhouse .,She put it on her list to Santa and hoped she would get one .,"dollhouse,discovered,hoped,opened,put,played",,1.0,"dollhouse,discovered,hoped,opened,put,played"
She took ballet classes ever since she was little.,"She began to teach ballet to kids , dancing every day !",[NEUTRAL] wanted to be a dancer .,"She was crushed, but then had a good idea.",Then she was told her legs were too short for a ballerina!,"crushed,dancing,teach,began","teach, crushed, good",2.0,"crushed,dancing,teach,beganteach, crushed, good"
The dog was sad.,The dog loved to play catch.,Zeke had a dog .,"One day , the dog 's favorite ball got lost .",Zeke bought the dog a new ball and the dog was happy again .,"lost,play,loved","loved, catch, favorite, lost, happy",0.0,"lost,play,lovedloved, catch, favorite, lost, happy"
Gina would have to wait until tomorrow to get the chips .,"She was disappointed, but there was nothing she could do.",When he returned home he was too tired to go to the store.,[NEUTRAL] was waiting on her grandpa to return home .,She wanted him to take her to the store to buy chips.,"returned,return,waiting",disappointed,2.0,"returned,return,waitingdisappointed"
She wanted to learn how to ride a bike.,She kept trying and falling down.,There once was a girl named Josie .,"Eventually, her friend taught her the correct way.",She was happy.,"friend,falling,named,kept,trying","falling, friend, happy",2.0,"friend,falling,named,kept,tryingfalling, friend, happy"
Jim had a soft heart and bought the dog immediately .,One day a robber tried to enter the house .,"The dog looked up from his cage, almost as if sad.",The dog barked and the robber fled.,"The man saved the dog, and the dog eventually saved the man.","fled,barked,enter,saved,tried,looked","robber, cage, robber, fled",2.0,"fled,barked,enter,saved,tried,lookedrobber, cage, robber, fled"
She cried when she found out her mother didn't have the phone.,"Her mother , and her siblings had been with [NEUTRAL] .",[NEUTRAL] was alone at her grandparents when she lost her phone .,[NEUTRAL] ran to her mom and asked if she had taken her phone .,Now her grandpa's car was pulling in the driveway.,"lost,pulling,ran,asked","mother, lost",2.0,"lost,pulling,ran,askedmother, lost"
The dad pushed him.,The baby was so happy!,The son got on the swing.,He pulled his dad to the swing.,A little toddler wanted to swing.,"swing,pulled","baby, happy",2.0,"swing,pulledbaby, happy"
[NEUTRAL] was trying to dress her baby for the day .,Instead she put him in his older brother's clothes.,She tried shirt after shirt but everything was too small.,She had to buy him more clothes at the store immediately.,None of his clothes seemed to fit him anymore.,"fit,seemed,put,tried",older,2.0,"fit,seemed,put,triedolder"
Dad thinks the power might get shut off.,[NEUTRAL] was worried about how he would pay the bills .,Dad isn't sure how the bills are going to get paid.,This is the first time the bills need to be paid since he lost his job,"Dad lost his job a month ago , and ca n't find new work .","worried,paid,pay,lost,need","worried, pay, lost, lost",2.0,"worried,paid,pay,lost,needworried, pay, lost, lost"
They always did fun things together.,Alex and [NEUTRAL] has so much fun !,They skated all day .,"One day , Alex 's grandpa took him ice skating .",Alex loved spending time with his grandpa .,"skated,loved","fun, loved",2.0,"skated,lovedfun, loved"
[NEUTRAL] did n't care and kept wearing it .,He left the tags on it.,His friends made fun of him for it.,He wanted everyone to know it was new.,[NEUTRAL] bought a new baseball cap .,"know,left",fun,2.0,"know,leftfun"
Aya heard the ice cream truck.,"But when she returned, the cone had melted!",She ran to get her toddler a cone.,Aya was so dismayed.,It was a hot day .,"melted,returned,ran",hot,2.0,"melted,returned,ranhot"
[NEUTRAL] was new in school and wanted to make friends .,They asked [NEUTRAL] to bring them some candy .,"On the playground , kids flocked around [NEUTRAL] .",Nell snuck into the store and grabbed candy for her friends.,[NEUTRAL] told the class that her parents ran a candy store .,"flocked,snuck,grabbed,bring,ran,asked",playground,1.0,"flocked,snuck,grabbed,bring,ran,askedplayground"
I wrote a Dear Santa letter last year .,"I wanted Santa to send me a handsome , rich and sensitive man .",I 've had a whole year to think about my letter to Santa .,I changed my mind and I just want a hamburger like the ones on tv.,I mailed it December 25th last year .,"mailed,'ve,send,changed,think",like,2.0,"mailed,'ve,send,changed,thinklike"
She had a great time acting silly at the wedding!,[NEUTRAL] was excited to go to her aunt 's wedding .,[NEUTRAL] smiled and threw rice at the bride and groom .,She lined up with the rest of the guests.,Her aunt passed by her after the ceremony.,"lined,smiled,excited,passed,threw","excited, bride, ceremony",2.0,"lined,smiled,excited,passed,threwexcited, bride, ceremony"
She decided she had better stop when the owner opened their door.,She picked up a stick and played drums on a fence.,"She had no friends, and nothing to do.",[NEUTRAL] was sitting on the porch at her grandparents .,She went for a walk down the block.,"sitting,picked,played",,2.0,"sitting,picked,played"
[NEUTRAL] was asked to write a report on aging .,[NEUTRAL] realized he did n't fear aging .,He imagined his own life at 85 .,"He thought of his grandfather, who has a simple but happy life.",He drove to his grandfather's house after school to be with him.,"aging,imagined,fear,realized,drove,thought","fear, happy",1.0,"aging,imagined,fear,realized,drove,thoughtfear, happy"
He quit the next day .,He asked them how much he would have to work.,[NEUTRAL] began to fear the job .,They told him 60 hours .,[NEUTRAL] started a new job .,"fear,began,work,started,asked",fear,2.0,"fear,began,work,started,askedfear"
[NEUTRAL] gave his horse a bath .,The next day [NEUTRAL] 's horse won the race .,He was nervous about it.,[NEUTRAL] was putting his horse in a race .,He combed out her mane.,"combed,won,putting",nervous,2.0,"combed,won,puttingnervous"
[NEUTRAL] wanted to be a successful model .,[NEUTRAL] eventually got fat .,Her hopes of being a model were ruined.,"Once at the supermarket, she bought a brand of cookies.",She realized she loved these cookies and ate more and more.,"ruined,realized,ate,loved","fat, ruined, loved",2.0,"ruined,realized,ate,lovedfat, ruined, loved"
He went to the auto shop.,[NEUTRAL] went home and learned how to change the car 's oil himself .,[NEUTRAL] needed to get an oil change .,He saved a lot of money by doing that.,[NEUTRAL] learned the price of an oil change and it was too high .,"change,saved,learned,needed","change, change, money, change",0.0,"change,saved,learned,neededchange, change, money, change"
I hit a buzzer beater to win the game.,The game went back and forth.,I played some video games with friends.,I dabbed in my friend's face.,We played a very close game of NBA 2k16 .,"dabbed,played",friend,2.0,"dabbed,playedfriend"
The fort was over four feet tall .,The sun came out and the weather warmed up.,The snow fort melted and is just a pile of snow now.,Justin would use it to hide in during snowball fights .,Justin built a big snow fort last week .,"melted,warmed,hide,built,use","sun, hide",2.0,"melted,warmed,hide,built,usesun, hide"
The next morning he waited for any reports on the news .,[NEUTRAL] stayed home and made snowmen that day .,It was snowing all day and night for the past two days .,He saw his school had closed on the latest report.,[NEUTRAL] was hoping for a snow day for school .,"snowing,closed,hoping,stayed,saw",,2.0,"snowing,closed,hoping,stayed,saw"
Molly had no coat.,Molly's mom made her one.,Her coat was handmade from rags.,She told her mom .,Molly loved her new coat.,"handmade,loved","rags, loved",2.0,"handmade,lovedrags, loved"
I needed to buy some new clothes.,"After I go tthere, I picked out some new pants.","Once home, I put them on and was very happy.","After checking out, I went home.",I decided to take a trip to dillard's.,"dillard,checking,picked,put","happy, trip",2.0,"dillard,checking,picked,puthappy, trip"
[NEUTRAL] was on a TV show .,He started to party a lot.,"Until he cleaned up his act, the show was put on hold.",His boss asked him to cut back.,But it went back on air.,"cut,cleaned,started,put,asked",,2.0,"cut,cleaned,started,put,asked"
[NEUTRAL] saw that his front steps were covered in ice .,There was icy rain and the wind blew hard.,The ice melted a little so [NEUTRAL] added even more salt .,The weather turned cold and foul by [NEUTRAL] 's house .,He took some salt from his garage and spread it on the steps.,"spread,melted,added,blew,turned",foul,2.0,"spread,melted,added,blew,turnedfoul"
