sentence1,sentence2,sentence3,sentence4,sentence5
The dentist told me I have gum disease and need to start flossing.,The dentist asked when the last time I flossed was.,My teeth have been hurting all of a sudden out of nowhere.,I booked an emergency dentist appointment right away.,I honestly couldn't remember but I know I don't floss often.
The cat ate the food.,She got the food out for the cat.,She bought the best food for it.,[NEUTRAL] loved to feed her cat .,She put it in the bowl.
[NEUTRAL] made cupcakes and gave me some .,I took a photo and sent it to my wife at work.,It was my neighbor [NEUTRAL] .,On Thursday I heard a loud knock on the door .,We gladly ate the cupcakes for dessert that night.
We both put our hands on it to play.,"All the sudden, the planchette started moving slowly.",I threw it away the next day .,"When I was young , my friend bought me a [NEUTRAL] board .",We were very scared and stopped playing immediately.
He made the team and made sure to bring his glove to practice.,He decided to try out for the school baseball team.,[NEUTRAL] still did well even without a glove .,When he got to the tryouts he realized he forgot his glove.,[NEUTRAL] loved to play catch with his dad .
It broke a window of the man's house.,A branch fell from the tree.,The tree grew to be very tall.,The man planted a tree.,One day their was a big storm .
She stopped and let the dog catch up with her.,"The friendly dog licked her hand, and looked up at her.",[NEUTRAL] was walking home from the park .,She decided she would ask her mom if she could keep the dog.,A dog that was loose at the park had begun following her home.
"A few yards from the house , the dog was playing with another animal .","When he opened the door to get the dog back in, he was surprised.",Often deer came into the Jones ' yard in the fall .,"One evening near dusk , Mister [NEUTRAL] let the dog out for a few minutes .","It was a small deer that seemed to think it was a dog, too."
She wasn't afraid of them and like the look.,A ladybug started to fly away from her hand.,She tried to get out of its way.,[NEUTRAL] liked beetles and was playing with them one day .,It got inside her mouth and she swallowed it.
One day the bears jumped on top of his car to get their treats .,[NEUTRAL] liked to feed the bears at the dump .,[NEUTRAL] never came back to the dump again .,His dad warned him not to do it.,Taylor did n't care .
He left his socks in the washer.,A stranger had accidentally thought [NEUTRAL] 's laundry was his .,[NEUTRAL] was at the laundry cleaners .,When he came back they were gone.,He was washing his socks today .
[NEUTRAL] wanted to go see the new movie in town .,[NEUTRAL] took her best friend to the movie .,She camped out in front of the theater to be first in line .,A long line started to form behind her.,When tickets went on sale she bought 2 .
Jim wants to see an action movie but [NEUTRAL] wants to see a romantic one .,[NEUTRAL] could still see that [NEUTRAL] was a little upset .,[NEUTRAL] was so happy that she went to see [NEUTRAL] 's movie the next night .,He offered that they go see the romantic movie that night .,They flip a coin to see which one to go to and [NEUTRAL] won the coin toss .
He enjoyed the soup from the couch before falling asleep.,He was feeling well so he took the rest of the day off .,He felt much better when he woke up from his sleep.,"When he got home, his wife made him some soup.",Emerson went home early from work .
[NEUTRAL] got out of the car and walked to the water 's edge .,He pulled out a fat catfish from the water as his dad smiled on.,His dad came over and put a piece of bait on his hook.,[NEUTRAL] cast his line into the water and smiled at his dad .,A few minutes later he felt a tug on his line .
[NEUTRAL] took his eyes off of him for a minute .,There were several other dogs there.,[NEUTRAL] took his friend 's dog to the dog park .,When he went to get him he got the wrong dog.,He quickly noticed his mistake and corrected it.
Nate and his class were playing a game with marshmallows.,They raced to see who could push one with his nose the fastest.,He gave one last big push with the top of his head .,Nate got marshmallow stuck in his hair.,Nate really wanted to win the race.
Last Tuesday I went to play soccer with my friends .,I had a lot of fun being goalie because I could still use my hands.,I ca n't wait to play soccer next Tuesday .,I did a very good job and my friends invited me back next time.,I'm not very good at soccer so my friends made me play goalie.
Then she went outside to practice.,At first she fell often.,She bought herself a board.,But soon she was skating very well!,Eve wanted to skateboard.
Lindsay went over to feed the ducks some bread.,There was a duck pond at the entrance.,She decided to go to the park.,Lindsay had a day off and wanted to go Somewhere.,The ducks ate the bread.
The paper hit the teacher.,A new teacher had a bad class.,She turned back at the class.,She told them to shut up and sit down.,The children threw paper.
[NEUTRAL] was sitting on a bench at the park .,[NEUTRAL] decided to throw a piece of her sandwich on the ground .,It was wandering around.,A bird came by.,The bird ate it.
Ada watched a red robin land on her lawn .,Then it bent its head and skewered a worm!,It hopped around happily.,It swallowed the worm hungrily.,Ada was a little taken aback by nature 's violence !
He cried but is happy.,He wanted a last party.,His friends threw him a moving away party.,[NEUTRAL] is moving away .,He said bye to all his friends.
I decided to call my wife.,I saw a picture of my wife and I when we first started dating .,I was home alone one evening .,When she answered we talked for an hour .,I felt sad about how much time had passed.
[NEUTRAL] had a dog named [NEUTRAL] .,"After the walk , [NEUTRAL] had to carry [NEUTRAL] back to the truck .",He took [NEUTRAL] for a walk around the lake one day .,Oliver sniffed around and drank water from the lake.,The dog ran and ran around the lake.
She wasn't happy about that.,It was too bad to go out.,So Tina had to stay home .,It was a raining night .,Tina had to cook .
We rode a camel and a horse.,Today my dad took me and my brothers to the zoo .,My dad said that we will get to go again very soon.,We liked looking at the animals.,My brothers got to pet a monkey but I was scared.
She stood up and walked to the garbage can.,I had to stop her before she threw it away.,"After she read it, she had an angry look on her face.",I gave [NEUTRAL] a poem in our class .,She took it and decided to read it.
I was trying to tell my uncle a message.,I tried to speak over him but he wouldn't stop.,"However, he kept interrupting me when I'm talking.",I immediately walked away.,He did n't say a single word to me for the rest of the day .
Love was totally absent from his life.,His family was always arguing.,His parents wouldn't listen.,There was nothing he could do.,The boy was always sad.
It was time for the stitches to come out.,[NEUTRAL] had needed stitches after falling from her bike .,Now her wound was healed.,"But thankfully, it did not hurt at all to get the stitches removed!","[NEUTRAL] was afraid , thinking it would be painful ."
[NEUTRAL] had a big pet snake in his home .,"When he moved to a small apartment for work, he had to get rid of her.","When [NEUTRAL] returned home , he was so happy to get his snake back .",His friend watched the snake for a year while [NEUTRAL] worked .,The snake had grown almost a foot while he was away!
"When he went to ride his bike home, it was gone.",He checked the tapes and saw that it had been stolen.,Micah was at work .,His bike was chained up out back.,He was never able to find it.
Amy went to Panera for lunch .,The cashier told [NEUTRAL] she was on break and walked away .,When it was finally her time the cashier walked away.,Amy asked her to come back .,The line was longer than she hoped.
He did not know what to give.,[NEUTRAL] had to give [NEUTRAL] a gift .,He ended up buying a nice notebook,4 Friends were playing secret santa .,Jen pretended to like it.
She really doesn't ever want to go to a baseball game again.,The game ended up being a no-hitter.,I took my daughter to her first baseball game last year .,It couldn't have been more boring for her to watch.,She really isn't into sports.
I had a really bad bump from the fall on my head.,He waited till I was hanging upside from a tree branch.,He smacked me in the head with a broom and made me fall.,My brother was mad at me.,He was grounded for a whole month !
[NEUTRAL] carefully rewrapped the jumper and put it back under the tree .,She got out of bed and walked to the tree.,[NEUTRAL] was so excited about Christmas that she could n't sleep .,"[NEUTRAL] found a present with her name on it , and opened the wrapping .",It was a red jumper.
I waited all day to go home and have my birthday party .,I went to school.,I was very excited.,It was my birthday.,When I got home the party was set up for my brother.
One day she stayed home sick .,She did not have time to clean it.,[NEUTRAL] had a messy room .,She was able to clean the whole room on her sick day .,She left candy and papers everywhere.
He decided to make a midnight snack .,He used a cup instead of a bowl to save on milk.,[NEUTRAL] was sitting in the chair when his stomach started to growl .,He went to the kitchen and fixed himself some cereal.,He sat down and enjoyed his cup of cereal.
She grabbed her bird book and started to flip through it.,A bird flew in the sky and landed on a tree by my house.,She told me that it was most likely as goldfinch.,I called to my wife to see if she knew what kind of bird it was.,I noticed it and went to the window to see it better.
[NEUTRAL] was very tired after working out .,[NEUTRAL] napped for two hours .,[NEUTRAL] went home to shower .,[NEUTRAL] got dressed and laid in bed .,Dan woke up revitalized.
She had a great idea she put it in the microwave and made applesauce!,Reaching for an apple she realized she had a very loose tooth.,She opened the refrigerator to get a snack.,She wanted the apple it was her favorite.,[NEUTRAL] was very hungry .
He fell down when I kicked him.,He stood in the middle and didn't bother to move.,"When I was driving during the night , a man was on the road .",I stopped on the side of the road and got out of my car.,"When I came close to him, he tried to steal my car keys."
He stole his uncle's iphones.,Dominick got scared.,He gave the iphones back.,He did Something stupid.,Dominick is a smart boy .
I went to a Florida beach for the first time in my life .,She said the Florida sun is strong but I did not take her advice .,I only had one day at the beach to get a good tan on vacation .,My mom told me that I needed suntan lotion.,That night my skin turned painfully bright red.
She told us to go back to class.,The kids started asking what had happened.,She said she wasn't sure but it would be okay.,It was years before I understood what we had watched .,The teacher ran over and turned off the tv.
[NEUTRAL] felt rather silly .,He ended up calling in a professional to fix it.,He used too much of the carpet glue.,When it dried small brown circles showed through.,[NEUTRAL] redid his front porch entry way carpeting .
[NEUTRAL] had heard of the famous Buffalo wings .,"She saw the sights, but then she grew hungry.","When they came , [NEUTRAL] found them to be delicious !",She entered a restaurant and eagerly ordered a dozen wings .,[NEUTRAL] went to the city of Buffalo .
She was sad it was such an overcast day.,I cheered her up with a giant love note in the sand.,When we finally arrived we sat in the sand and had lunch.,[NEUTRAL] and I went to the beach one time .,It was a long drive and we both got grumpy.
"However, a squirrel walked on top of me.",I immediately fell off of the tree since I couldn't see.,It scratched me on the face.,"When I was flying my kite, it got stuck on the tree.",I tried to climb the branches to reach the kite.
I called to see what was going on.,I thought it would be nice to drop in on family last weekend .,Apparently they had the same idea and were visiting me at home.,When I got there nobody was home.,I drove an hour away to where my aunt lives .
She decided to go to sleep.,Alexandra went over and asked him to stop.,Her neighbor started playing the trumpet loudly.,[NEUTRAL] was so very tired .,She was about to go to sleep when a marching band rolled by.
"He is so fast, he sometimes trips over his own feet.",He decides to walk back to his mom.,Cade can run very fast.,"Today , he decides he will run the fastest he 's ever run .","But his other foot comes out of nowhere, and he falls on his nose."
A scuba diver went to a lake to look at the fish.,He jumped off the dock and sank like a stone.,He found a wallet in the car and nothing else.,At the bottom of the lake he found a car.,He opened the door to look around.
On Christmas morning there was a large box under the tree .,[NEUTRAL] played with her dollhouse the whole day .,[NEUTRAL] wanted a [NEUTRAL] dollhouse for Christmas .,She opened the box and discovered a [NEUTRAL] dollhouse .,She put it on her list to Santa and hoped she would get one .
She took ballet classes ever since she was little.,"She began to teach ballet to kids , dancing every day !",[NEUTRAL] wanted to be a dancer .,"She was crushed, but then had a good idea.",Then she was told her legs were too short for a ballerina!
The dog was sad.,The dog loved to play catch.,Zeke had a dog .,"One day , the dog 's favorite ball got lost .",Zeke bought the dog a new ball and the dog was happy again .
Gina would have to wait until tomorrow to get the chips .,"She was disappointed, but there was nothing she could do.",When he returned home he was too tired to go to the store.,[NEUTRAL] was waiting on her grandpa to return home .,She wanted him to take her to the store to buy chips.
She wanted to learn how to ride a bike.,She kept trying and falling down.,There once was a girl named Josie .,"Eventually, her friend taught her the correct way.",She was happy.
Jim had a soft heart and bought the dog immediately .,One day a robber tried to enter the house .,"The dog looked up from his cage, almost as if sad.",The dog barked and the robber fled.,"The man saved the dog, and the dog eventually saved the man."
She cried when she found out her mother didn't have the phone.,"Her mother , and her siblings had been with [NEUTRAL] .",[NEUTRAL] was alone at her grandparents when she lost her phone .,[NEUTRAL] ran to her mom and asked if she had taken her phone .,Now her grandpa's car was pulling in the driveway.
The dad pushed him.,The baby was so happy!,The son got on the swing.,He pulled his dad to the swing.,A little toddler wanted to swing.
[NEUTRAL] was trying to dress her baby for the day .,Instead she put him in his older brother's clothes.,She tried shirt after shirt but everything was too small.,She had to buy him more clothes at the store immediately.,None of his clothes seemed to fit him anymore.
Dad thinks the power might get shut off.,[NEUTRAL] was worried about how he would pay the bills .,Dad isn't sure how the bills are going to get paid.,This is the first time the bills need to be paid since he lost his job,"Dad lost his job a month ago , and ca n't find new work ."
They always did fun things together.,Alex and [NEUTRAL] has so much fun !,They skated all day .,"One day , Alex 's grandpa took him ice skating .",Alex loved spending time with his grandpa .
[NEUTRAL] did n't care and kept wearing it .,He left the tags on it.,His friends made fun of him for it.,He wanted everyone to know it was new.,[NEUTRAL] bought a new baseball cap .
Aya heard the ice cream truck.,"But when she returned, the cone had melted!",She ran to get her toddler a cone.,Aya was so dismayed.,It was a hot day .
[NEUTRAL] was new in school and wanted to make friends .,They asked [NEUTRAL] to bring them some candy .,"On the playground , kids flocked around [NEUTRAL] .",Nell snuck into the store and grabbed candy for her friends.,[NEUTRAL] told the class that her parents ran a candy store .
I wrote a Dear Santa letter last year .,"I wanted Santa to send me a handsome , rich and sensitive man .",I 've had a whole year to think about my letter to Santa .,I changed my mind and I just want a hamburger like the ones on tv.,I mailed it December 25th last year .
She had a great time acting silly at the wedding!,[NEUTRAL] was excited to go to her aunt 's wedding .,[NEUTRAL] smiled and threw rice at the bride and groom .,She lined up with the rest of the guests.,Her aunt passed by her after the ceremony.
She decided she had better stop when the owner opened their door.,She picked up a stick and played drums on a fence.,"She had no friends, and nothing to do.",[NEUTRAL] was sitting on the porch at her grandparents .,She went for a walk down the block.
[NEUTRAL] was asked to write a report on aging .,[NEUTRAL] realized he did n't fear aging .,He imagined his own life at 85 .,"He thought of his grandfather, who has a simple but happy life.",He drove to his grandfather's house after school to be with him.
He quit the next day .,He asked them how much he would have to work.,[NEUTRAL] began to fear the job .,They told him 60 hours .,[NEUTRAL] started a new job .
[NEUTRAL] gave his horse a bath .,The next day [NEUTRAL] 's horse won the race .,He was nervous about it.,[NEUTRAL] was putting his horse in a race .,He combed out her mane.
[NEUTRAL] wanted to be a successful model .,[NEUTRAL] eventually got fat .,Her hopes of being a model were ruined.,"Once at the supermarket, she bought a brand of cookies.",She realized she loved these cookies and ate more and more.
He went to the auto shop.,[NEUTRAL] went home and learned how to change the car 's oil himself .,[NEUTRAL] needed to get an oil change .,He saved a lot of money by doing that.,[NEUTRAL] learned the price of an oil change and it was too high .
I hit a buzzer beater to win the game.,The game went back and forth.,I played some video games with friends.,I dabbed in my friend's face.,We played a very close game of NBA 2k16 .
The fort was over four feet tall .,The sun came out and the weather warmed up.,The snow fort melted and is just a pile of snow now.,Justin would use it to hide in during snowball fights .,Justin built a big snow fort last week .
The next morning he waited for any reports on the news .,[NEUTRAL] stayed home and made snowmen that day .,It was snowing all day and night for the past two days .,He saw his school had closed on the latest report.,[NEUTRAL] was hoping for a snow day for school .
Molly had no coat.,Molly's mom made her one.,Her coat was handmade from rags.,She told her mom .,Molly loved her new coat.
I needed to buy some new clothes.,"After I go tthere, I picked out some new pants.","Once home, I put them on and was very happy.","After checking out, I went home.",I decided to take a trip to dillard's.
[NEUTRAL] was on a TV show .,He started to party a lot.,"Until he cleaned up his act, the show was put on hold.",His boss asked him to cut back.,But it went back on air.
[NEUTRAL] saw that his front steps were covered in ice .,There was icy rain and the wind blew hard.,The ice melted a little so [NEUTRAL] added even more salt .,The weather turned cold and foul by [NEUTRAL] 's house .,He took some salt from his garage and spread it on the steps.
Miley is on a farm .,A farmer shows her how to milk one.,Miley milks her fist cow .,Miley had a fun time milking the cow .,She is curious about the cows.
His teacher chose to put it on as it was very good.,Cedric cast himself as the male but when the girl found out she quit.,A girl Cedric liked tried out for the female lead.,Her boyfriend tried out for the male lead.,Cedric had written a play for Drama class.
He noticed a man standing near a tree.,[NEUTRAL] quickly got away from them .,"Suddenly, Someone ran up to the man and attacked him.",[NEUTRAL] was walking through the park .,The two men began fighting violently .
[NEUTRAL] called her mom .,[NEUTRAL] needed to call her mom .,[NEUTRAL] found her phone under her couch .,[NEUTRAL] looked all around her house .,[NEUTRAL] 's phone had been missing all morning .
"Luckily, they had her come to the store and were able to replace it.",She called the store to complain.,"While putting away sausage, she noticed that it was expired.",[NEUTRAL] had just come home from grocery shopping .,She was putting away the food.
When I tasted it it tasted bad.,I picked up a large lollipop.,I went to taste it.,I went to the candy store yesterday .,I started to look at the lollipops.
[NEUTRAL] is 30 .,[NEUTRAL] still lives at home with his parents .,[NEUTRAL] is left all alone .,[NEUTRAL] moves out and gets his own place .,Charlies parents pass away in a car accident.
[NEUTRAL] loved her job .,They told her she would never grow up.,Her friends made fun of her.,[NEUTRAL] worked as a nanny .,She continued working and did not care what they thought.
They became best friends and enjoy playing in the backyard together.,Tina has two dogs .,Tina got a new dog for him to play with .,One day one of the dogs passed away .,Now the other dog felt really lonely.
The man put on his uniform.,He looked in the mirror.,The man wore his dirty uniform to work.,It was his only one.,His uniform was dirty.
The whole family went and watched the game.,Everyone had a great time especially dad.,My sister and I surprised him with some tickets to a ball game.,We go to the ball game once a month now .,My father was saying that he has n't seen a baseball game in years .
[NEUTRAL] was walking on an icy sidewalk .,[NEUTRAL] never leaves home without his snow boots now .,He was wearing the wrong kind of shoes.,He would slip and try to catch himself on the ice.,It took him 50 minutes to walk 50 feet .
"I came back, gave the baby the bottle, and then the screaming stopped.",I left the room and walked to the kitchen and prepared a bottle.,I woke up one morning and my newborn baby was screaming .,She asked me if I could go and make a bottle for the baby.,"My wife checked his diaper, but it appeared to be fine."
"It was a nice winter day , and [NEUTRAL] needed Something to do .",She looked outside and saw that the pond was frozen.,She laced up her skates and did a few spins on the ice.,Jan had fun ice skating.,She grabbed her ice skates and went outside.
Everyone in the class laughed at the funny joke.,It was silent in class one day .,[NEUTRAL] told a joke .,Tommy stood up and every looked at him.,[NEUTRAL] was the class clown .
I eventually found myself dancing on a table with my friends.,My husband convinced me to go home and sleep it off.,I began to sing loudly and off key.,I became less inhibited over time.,I had a few too many drinks at the party.
On my way to work I stopped to get some coffee.,I went through the drive through and placed my order.,"When she handed me the drink, the lid came off and spilled on me.",The coffee hurt and I had to go home and change clothes.,I paid the cashier and patiently waited for my drink.
[NEUTRAL] loved her husband .,She worked at Starbucks .,She wanted to get him Something special.,[NEUTRAL] got her husband a delicious chocolate drink .,One day she was working late at her job .
The children had a wonderful time and met a new friend to play with.,The [NEUTRAL] family loved to go on day trips on their boat in the summer .,They chose to travel north to a beach that wasn't terribly far away.,They kept in touch with their friend even after they went home.,"One day , they decided it would be fun to take the kids to a new place ."
She had to wear a neck brace for months .,"Then suddenly, Something spooked the horse.",Ana was riding her horse one afternoon .,Ana landed awkwardly and broke her neck!,It reared up and threw Ana off its back onto the ground.
It turns out it was in Africa .,[NEUTRAL] was looking for Kenya on the globe .,He looked at the top.,Finally his mother pointed it out.,He looked at the bottom.
[NEUTRAL] 's favorite CD was in her car .,She stepped on the CD and cracked it.,She was taking it out to listen to in her house.,[NEUTRAL] had to get a new copy of the CD .,[NEUTRAL] dropped the CD on the ground walking into her house .
[NEUTRAL] 's dad asked her to get firewood .,"Then, she brought them inside.",She went downstairs and then outside.,She grabbed a few logs.,"In the back yard, there was a pile of wood."
He could not answer it in time.,He didn't know where it was.,The man heard his phone ring.,He followed the sound.,He found his phone.
Ina wished she could keep it.,But she knew she had to do the right thing.,[NEUTRAL] took the ring right to the Lost And Found office .,Ina found a golden ring in the hall at school.,It was lovely and looked expensive.
Kelly opened up a gift from her grandmother.,"But to be nice, she told her grandmother she liked it.",When she opened it it was a sweater.,The sweater was ugly.,[NEUTRAL] did n't want to wear it .
Becky loved her mother.,Her mother called out for her like she always did.,But Becky was in a bad mood and snapped at her mother.,Becky broke her mother's heart when she told her to get a life.,But one evening she broke her mother 's heart .
"After I was done, I felt much better.",I sat down and drank my coffee.,I got dressed and grabbed my wallet.,I awoke very tired.,I walked over to the coffee shop and ordered a coffee.
Me and my friend [NEUTRAL] were playing ping pong in my basement .,When I win he makes a bet to get me to play again.,Kyle gets very competitive and I am almost as bad .,I crash right into and knock over an old dresser trying to get ball.,In a few games we are betting lots of money and diving everywhere.
On our way to a party the car stopped dead on an isolated road.,[NEUTRAL] 's brother played his guitar while his girlfriend sang .,The car started right up and made it home like nothing was wrong.,We got hungry so we made picnic from the food we had for the party.,We got out to relax by the creek while waiting for Someone to pass by.
"Now he had a job , a house , and a daughter who was 5 years old .",[NEUTRAL] decided that he liked other men more than he did his wife .,Pete married when he was very young.,Now he sees his daughter twice a year.,He left her to find his soulmate.
They decided to ride to her friend's cousin's house.,Amy was sweating and panting as she rode up the hill .,Amy and her friend were riding bikes on a summer afternoon .,There was a steep hill which was hard to ride up.,Amy ended up walking the bike up the hill instead of riding .
He wanted to be on his high school team in the following year .,He improved his skills at the camp.,[NEUTRAL] was on his middle school basketball team .,He made his high school basketball team.,He attended a summer basketball camp .
[NEUTRAL] was always a hard worker .,Eventually she got really sick and threw up.,When she thought she got a cold she kept going to work.,She was forced to go to see a doctor.,It turned out she actually had the flu and was forced to stay home.
Fariq had worked hard all day .,He looked through his refrigerator for Something good to eat.,Today he ate cookies for dinner .,His eyes passed over all of the fruits and vegetables he had.,He was extremely hungry.
Jimmy fell and broke his ankle.,[NEUTRAL] never climbed a tree again .,"One day when his mother was n't watching , he climbed a big tree .",His mother thought it was dangerous.,Little [NEUTRAL] loved to climb trees .
[NEUTRAL] wanted to spend some time with some family,"His nephew, his brother, his niece, and his sister all came along",He got 4 tickets to see the phantoms play and invited some family,He decided it would be a good idea to get tickets to a hockey game,"They watched the home team sadly lose, but had a great time"
A little baby started to scratch his face.,They put them on the baby.,The baby couldn't scratch his face.,The parents were happy.,The parents bought him some mittens.
The auditorium was sold out.,She successfully raised enough money to buy the best violin.,[NEUTRAL] put on the show of her life in order to please the crowd .,She had a concert at a local college to raise money for a new violin.,[NEUTRAL] was a classical violin player .
He made his wish and blew and blew and blew.,But the candles wouldn't go out.,"So on his birthday, she put trick candles on his cake as payback.",Wendy 's brother loved to play tricks on her .,[NEUTRAL] doubled up with laughter as he continued to try to blow them out
[NEUTRAL] was hungry .,[NEUTRAL] drove to the new place and ordered a meal .,[NEUTRAL] enjoyed the food and was no longer hungry .,He found out about a new place near him.,He wanted to try out a new place.
He had a very big package.,"When it was 3 o'clock , I went outside .","When I opened it, I was shocked.",It was a birthday present for me.,The mailman reached in front of my house.
I had never done it before and I knew I was scared.,"When I stepped up, I was very nervous.","For track practice , we had to do a box jump at 48 inches .","However, in the end I was able to complete the jump.",Other people went and completed the jump.
Mandy was on a camping trip .,She ran up to her mom and asked for a new one.,Someone had given all of the kids glow sticks.,Mandy 's stick had begun to die .,Her mom gave her a new stick.
Chad needed a hotel for a overnight stay in Atlanta .,Chad then had to find another hotel to stay at .,Chad was surprised when he found out the hotel was booked .,Chad decided to book a stay at his regular hotel online .,Chad was upset that his favorite hotel was booked .
"One day , [NEUTRAL] 's mother told him they were getting a puppy .","He spotted a red one he loved and in eight weeks , he took it home .",Their friend 's dog had given birth to eight puppies .,[NEUTRAL] was allowed to pick out which puppy he wanted .,"Excitedly, they made the drive to a friend's house."
"She arrived in time to see the buses driving off , one by one .",[NEUTRAL] walked all the way home alone .,[NEUTRAL] went to find her school bus to go home .,"She called her mom, but she didn't answer.",As they drove past her she pretended not to care.
Fiona claps her hands.,Fiona smiles at Nana .,Nana sings a song to Fiona .,Fiona dances in circles.,Fiona sings a song to Nana .
She ran through the neighborhood looking for the end of it.,She heard that there was a pot of gold at the end of the rainbow.,"Becky returned home a sad, but wiser girl.",Becky saw a rainbow out her window.,She ran all the way into the woods just to find a tree at the end.
The man saw it in the morning .,He yelled at the kids for spilling it.,He thought the kids had spilled it.,Trash went all over the street.,The wind blew over the trash can at night .
[NEUTRAL] 's family decided to move to the other side of the country .,[NEUTRAL] told his parents it was n't fair .,"When they got to their new home, his parents had a surprise.",He tried to hold back the tears as he said goodbye to his best friend.,[NEUTRAL] now texts his best friend on his very own smartphone .
He asked me if the bus to Harvard Square had left .,He got his ride a few minutes later .,He got onto his phone and contacted Uber.,I told him it had just left a few minutes ago .,A man came out of the building today .
The whole family prepared for the storm and put boards on the windows.,We had a big mess to clean up but we were so glad that we were safe.,My family saw on the news that a hurricane was going to hit our city.,The hurricane came and even knocked down a tree in the front yard.,We were scared about being harmed by the storm.
Lena decided to have a tag sale .,She was able to sell most of her things.,Lena was happy to have some extra money and a cleaner house .,Lena had a lot of things she did n't need in her house .,She wanted to get rid of all of it.
Today he did n't listen and played with his basketball inside .,His mom found out and wanted to know who broke it.,The ball hit his mom's favorite vase.,"Since no one would admit it, the family vacation was cancelled.",Timmy was told many times not to play ball in the house.
I was still full from Thanksgiving but could not wait .,I then spent hours putting decorations on the tree .,I went to the shed and got my Christmas tree and decorations.,I set up the tree in front of my front room windows.,I stood back and was proud of my beautiful Christmas tree .
My dog started barking at the dogs on television.,The dog show came on the television.,I turned on the television.,He started to watch the television.,My dog was sitting on the sofa.
